Player,Pos,Age,Min,MP,Goals
Conor Coady,DF,29.0,3361,38,0.11
Marcus Coco,FWDF,25.0,930,24,0.1
Coke,DF,35.0,118,6,0.77
Séamus Coleman,DF,33.0,2656,30,0.03
Álex Collado,MFFW,23.0,1020,17,0.18
Ebrima Colley,FWMF,22.0,394,11,0.0
Omar Colley,DF,29.0,2745,32,0.0
Nathan Collins,DF,21.0,1670,19,0.11
Kingsley Coman,FWDF,25.0,1359,21,0.4
Eray Cömert,DF,24.0,408,8,0.0
Santi Comesaña,MF,25.0,2682,35,0.03
Diego Conde,GK,23.0,6,1,0.0
Aaron Connolly,FW,22.0,156,4,0.0
Andrea Consigli,GK,35.0,3322,37,0.0
Abdu Conté,DF,24.0,1347,17,0.0
Andrea Conti,DF,28.0,13,1,0.0
Andrea Conti,DFMF,28.0,234,7,0.38
Liam Cooper,DF,30.0,1814,21,0.0
Lucas Copado,FW,18.0,16,1,0.0
Diego Coppola,DF,18.0,249,4,0.0
Francis Coquelin,MF,31.0,830,20,0.22
Sébastien Corchia,DF,31.0,1324,28,0.0
Sergio Córdova,FWMF,24.0,328,13,0.0
Jack Cork,MF,32.0,1670,20,0.05
Maxwel Cornet,FWMF,25.0,1766,26,0.46
Maxwel Cornet,DFMF,25.0,63,1,0.0
Jesús Corona,FWDF,29.0,1157,18,0.16
Ángel Correa,FWMF,27.0,1856,36,0.58
Joaquín Correa,FW,27.0,1025,26,0.53
Thierry Correia,DF,23.0,1414,19,0.0
Danny da Costa,DF,28.0,725,11,0.0
David Pereira da Costa,MFFW,21.0,1464,33,0.18
Hélder Costa,MFFW,28.0,1118,22,0.0
Hélder Costa,MF,28.0,22,1,0.0
Jaume Costa,DF,34.0,1828,25,0.0
Benoît Costil,GK,34.0,2250,25,0.0
Vladimír Coufal,DF,29.0,2209,28,0.0
Kalifa Coulibaly,FW,30.0,850,21,0.53
Lassana Coulibaly,MF,26.0,2332,31,0.0
Mamadou Coulibaly,MF,23.0,808,12,0.22
Tanguy Coulibaly,DFFW,21.0,1079,21,0.0
Thibaut Courtois,GK,30.0,3240,36,0.0
Philippe Coutinho,MFFW,29.0,1329,19,0.34
Philippe Coutinho,MFFW,29.0,503,12,0.36
Nicolas Cozza,DF,23.0,2770,34,0.06
Alessio Cragno,GK,27.0,3150,35,0.0
Aaron Cresswell,DF,32.0,2726,31,0.07
Charlie Cresswell,DF,19.0,141,5,0.0
Domenico Criscito,DF,35.0,1618,20,0.33
Bryan Cristante,MF,27.0,2678,34,0.07
Cristo,DF,22.0,17,1,0.0
Enzo Crivelli,FWMF,27.0,102,4,0.0
Domen ?rnigoj,MFDF,26.0,1881,34,0.14
Giovanni Crociata,FW,24.0,15,1,0.0
Juan Cruz Armada,DF,29.0,1934,23,0.0
Juan Cuadrado,DFMF,34.0,2487,33,0.14
Cucho,FWMF,23.0,1147,25,0.39
Marc Cucurella,DF,23.0,3089,35,0.03
Marc Cucurella,FWDF,23.0,23,1,0.0
Jorge Cuenca,DF,22.0,2683,32,0.03
Mickaël Cuisance,MF,22.0,918,13,0.0
Mickaël Cuisance,MF,22.0,13,1,0.0
Luke Cundle,MF,20.0,180,4,0.0
Matheus Cunha,FW,23.0,64,1,0.0
Matheus Cunha,FW,23.0,1063,29,0.51
Patrick Cutrone,FW,24.0,1401,28,0.19
Wylan Cyprien,MF,27.0,1490,24,0.12
Rafael Czichos,DF,32.0,1402,17,0.0
Lennart-Marten Czyborra,DF,23.0,131,4,0.0
Danilo D'Ambrosio,DF,33.0,1000,20,0.09
Lucas Da Cunha,FWMF,20.0,836,15,0.22
Lucas Da Cunha,MF,20.0,393,10,0.0
Damien Da Silva,DF,34.0,1126,17,0.0
Moanes Dabbur,FWMF,30.0,1310,27,0.21
Colin Dagba,DF,23.0,165,3,0.0
Finn Dahmen,GK,24.0,180,2,0.0
Mahmoud Dahoud,MF,26.0,1658,22,0.11
Patson Daka,FW,23.0,1159,23,0.39
Stuart Dallas,DFMF,31.0,2919,34,0.03
Diogo Dalot,DF,23.0,1801,24,0.0
Mikkel Damsgaard,MFFW,21.0,578,11,0.0
Flavius Daniliuc,DF,21.0,1293,24,0.0
Danilo,DFMF,30.0,1893,22,0.05
Kevin Danso,DF,23.0,2790,33,0.06
Dante,DF,38.0,2870,34,0.0
Ebrima Darboe,MF,20.0,63,1,0.0
Márton Dárdai,DF,20.0,755,12,0.0
Sergi Darder,MF,28.0,3125,36,0.09
Vladimír Darida,MF,31.0,1786,25,0.1
Karl Darlow,GK,31.0,720,8,0.0
Matteo Darmian,DF,32.0,1507,25,0.12
Josh Dasilva,MFFW,23.0,257,9,0.0
Jonathan David,FW,22.0,2804,38,0.48
Alphonso Davies,DF,21.0,1740,22,0.0
Ben Davies,DF,29.0,2538,29,0.04
Tom Davies,MF,23.0,234,6,0.38
Keinan Davis,FW,24.0,12,1,0.0
Pawe? Dawidowicz,DF,27.0,1198,17,0.0
Craig Dawson,DF,32.0,2754,34,0.07
Kevin De Bruyne,MF,30.0,2201,30,0.61
Konrad De La Fuente,FWDF,20.0,785,16,0.0
Sebastien De Maio,DF,35.0,180,2,0.0
Tommaso De Nipoti,MF,18.0,6,1,0.0
Rodrigo De Paul,MF,28.0,2151,36,0.13
Mattia De Sciglio,DF,29.0,1168,20,0.08
Lorenzo De Silvestri,DF,34.0,2294,31,0.12
Saulo Decarli,DF,30.0,9,1,0.0
Troy Deeney,FW,33.0,25,2,0.0
Grégoire Defrel,FW,30.0,1362,38,0.13
Alessandro Deiola,MF,26.0,2129,33,0.17
Romain Del Castillo,MFFW,26.0,975,19,0.0
Romain Del Castillo,MFFW,26.0,28,3,0.0
Thomas Delaine,DF,30.0,2316,29,0.04
Thomas Delaney,MF,30.0,18,1,0.0
Thomas Delaney,MF,30.0,1549,26,0.12
Liam Delap,FW,19.0,10,1,0.0
Sacha Delaye,MFFW,20.0,262,11,0.0
Filippo Delli Carri,DF,23.0,334,5,0.0
Andy Delort,FW,30.0,2448,32,0.59
Andy Delort,FW,30.0,269,3,0.67
Fabian Delph,MF,32.0,662,11,0.0
Moussa Dembélé,FW,25.0,2207,30,0.86
Ousmane Dembélé,FW,25.0,1409,21,0.06
Yusuf Demir,FW,18.0,192,6,0.0
Merih Demiral,DF,24.0,1917,28,0.05
Kerem Demirbay,MF,28.0,2049,29,0.04
Ermedin Demirovi?,FWMF,24.0,871,31,0.21
Diego Demme,MF,30.0,692,19,0.13
Jason Denayer,DF,26.0,1002,15,0.27
Leander Dendoncker,MF,27.0,1950,30,0.09
Emmanuel Dennis,FWMF,24.0,2581,33,0.35
Fabio Depaoli,MFDF,25.0,112,6,0.0
Fabio Depaoli,DF,25.0,703,18,0.13
Memphis Depay,FW,28.0,1851,28,0.58
Mike van der Hoorn,DF,29.0,14,1,0.0
Arthur Desmas,GK,28.0,1304,15,0.0
Sergiño Dest,DFFW,21.0,1512,21,0.0
Mattia Destro,FW,31.0,1744,27,0.46
Gerard Deulofeu,FWMF,28.0,2616,34,0.45
Kiernan Dewsbury Hall,MF,23.0,2105,28,0.04
Jacopo Dezi,MF,30.0,16,1,0.0
Samuel Di Carmine,FW,33.0,36,1,0.0
Federico Di Francesco,FWMF,27.0,1367,26,0.33
Giovanni Di Lorenzo,DF,28.0,2869,33,0.03
Ángel Di María,FW,34.0,1645,26,0.27
Francesco Di Mariano,FW,26.0,62,1,0.0
Francesco Di Tacchio,MF,32.0,1255,18,0.0
Boulaye Dia,FW,25.0,1269,25,0.35
Moussa Diaby,FWMF,22.0,2760,32,0.42
Yadaly Diaby,FWMF,21.0,67,5,0.0
Mouctar Diakhaby,DF,25.0,1948,29,0.0
Ibrahim Diakité,MF,18.0,4,1,0.0
Abdou Diallo,DF,26.0,877,12,0.0
Habib Diallo,FW,26.0,1541,31,0.64
Ibrahima Diallo,MF,23.0,1023,23,0.0
Mouhamadou Diarra,MF,18.0,109,4,0.0
Stéphane Diarra,FWMF,23.0,525,15,0.0
Raphael Dias Belloli,FWMF,25.0,2915,35,0.34
Rúben Dias,DF,25.0,2402,29,0.07
Krepin Diatta,MFDF,23.0,285,8,0.31
Amadou Diawara,MF,24.0,170,4,0.0
Brahim Díaz,MF,22.0,1855,31,0.15
Javier Díaz,GK,25.0,90,1,0.0
Luis Díaz,FW,25.0,958,13,0.38
Víctor Díaz,DF,33.0,1500,22,0.06
Daniel Didavi,FWMF,32.0,277,10,0.0
Bamba Dieng,FWMF,22.0,975,25,0.65
Eric Dier,DF,28.0,3071,35,0.0
Elhadji Dieye,MFFW,19.0,34,5,0.0
Lucas Digne,DF,28.0,1269,16,0.0
Lucas Digne,DF,28.0,1170,13,0.0
Virgil van Dijk,DF,30.0,3060,34,0.09
Mitchell Dijks,DF,29.0,694,16,0.0
Javairô Dilrosun,FW,23.0,138,2,0.0
Javairô Dilrosun,MFFW,23.0,1732,32,0.1
Federico Dimarco,DF,24.0,1430,32,0.13
Landry Dimata,FWMF,24.0,541,17,0.0
Stole Dimitrievski,GK,28.0,2772,31,0.0
Junior Dina Ebimbe,MF,21.0,316,10,0.0
Tristan Dingomé,MFFW,31.0,1077,25,0.17
Sinaly Diomande,DF,21.0,579,11,0.0
Issa Diop,DF,25.0,963,13,0.0
Sofiane Diop,MFFW,21.0,1948,30,0.28
Andy Diouf,MF,20.0,14,5,0.0
Assane Dioussé,MF,24.0,23,4,0.0
Axel Disasi,DF,24.0,2721,32,0.03
Filippo Distefano,FW,18.0,2,1,0.0
Matías Dituro,GK,35.0,3420,38,0.0
Tiago Djaló,DF,22.0,2329,28,0.04
Djené,DF,30.0,3115,35,0.0
Moussa Djenepo,MF,23.0,457,12,0.0
Koffi Djidji,DF,29.0,1735,25,0.0
Alexander Djiku,DF,27.0,2694,31,0.03
Bryan Djile Nokoué,DFMF,20.0,57,2,0.0
Berat Djimsiti,DF,29.0,2256,31,0.04
Ouparine Djoco,GK,24.0,2116,24,0.0
Naïs Djouahra,FWMF,22.0,219,7,0.0
Marko Dmitrovi?,GK,30.0,540,6,0.0
Lewis Dobbin,FWMF,19.0,32,3,0.0
Matt Doherty,DF,30.0,875,15,0.21
Jeremy Doku,FWMF,20.0,469,14,0.19
Kasper Dolberg,FW,24.0,1492,26,0.36
Jaume Doménech,GK,31.0,343,4,0.0
Brandon Domingues,MFFW,21.0,231,11,0.38
Carlos Dominguez,DF,21.0,344,8,0.0
Mario Dominguez,FW,18.0,25,2,0.0
Nicolás Domínguez,MF,23.0,2015,28,0.0
John Donald,DF,21.0,180,2,0.0
Lee Dongjun,MF,25.0,118,4,0.0
Anastasios Donis,FWMF,25.0,370,13,0.0
Gianluigi Donnarumma,GK,23.0,1530,17,0.0
Niklas Dorsch,MF,24.0,2324,30,0.04
Gabriel Dos Santos,DF,24.0,3063,35,0.15
Jodel Dossou,FW,30.0,2008,35,0.13
Lucas Douath,MF,18.0,1804,31,0.05
Lohann Doucet,MF,19.0,6,2,0.0
Abdoulaye Doucouré,MF,29.0,2537,30,0.07
Cheick Doucouré,MF,22.0,2946,34,0.03
Fodé Doucouré,DF,21.0,154,3,0.0
Ismaël Doukouré,DF,18.0,17,1,0.0
Kamory Doumbia,MFFW,19.0,352,8,0.51
Moussa Doumbia,FW,27.0,86,4,0.0
Souleyman Doumbia,DF,25.0,2219,27,0.0
Kieran Dowell,FWMF,24.0,912,19,0.1
Bart?omiej Dr?gowski,GK,24.0,556,7,0.0
Radu Dr?gu?in,DF,20.0,488,7,0.0
Radu Dr?gu?in,DF,20.0,620,13,0.0
Cody Drameh,DF,20.0,128,3,0.0
Julian Draxler,FWMF,28.0,548,18,0.33
Matthieu Dreyer,GK,33.0,1440,16,0.0
Domingos Duarte,DF,27.0,1687,21,0.05
Óscar Duarte,DF,32.0,1773,23,0.1
Rubén Duarte,DF,26.0,2621,34,0.0
Leo Dubois,DF,27.0,1742,23,0.0
Martin Dúbravka,GK,33.0,2340,26,0.0
Ondrej Duda,MF,27.0,1611,31,0.11
Jeremy Dudziak,MFFW,26.0,1134,22,0.16
Shane Duffy,DF,30.0,1436,18,0.06
Unai Dufur,DF,23.0,90,1,0.0
Denzel Dumfries,DF,26.0,2028,33,0.22
Paul Dummett,DF,30.0,198,3,0.0
Alfred Duncan,MF,29.0,1931,33,0.09
Lewis Dunk,DF,30.0,2573,29,0.03
Erik Durm,DF,30.0,474,7,0.0
Hugo Duro,FWMF,22.0,1834,30,0.34
Hugo Duro,DFMF,22.0,12,1,0.0
Jean-Kevin Duverne,DF,24.0,3007,37,0.03
Paulo Dybala,FWMF,28.0,2061,29,0.44
Edin D?eko,FW,36.0,2469,36,0.47
Enzo Ebosse,DF,23.0,1890,27,0.0
Tyronne Ebuehi,DF,26.0,1138,19,0.0
Éderson,MF,22.0,1147,15,0.16
Ederson,GK,28.0,3330,37,0.0
Odsonne Édouard,FW,24.0,1564,28,0.34
CJ Egan-Riley,DF,19.0,4,1,0.0
Maximilian Eggestein,MF,25.0,2194,31,0.04
Lilian Egloff,FWMF,19.0,31,4,0.0
Kingsley Ehizibue,DF,27.0,681,16,0.0
Julian Eitschberger,DF,18.0,45,1,0.0
Albin Ekdal,MF,32.0,1637,26,0.05
Hugo Ekitike,FW,19.0,1273,24,0.71
Jurgen Ekkelenkamp,MFFW,22.0,718,21,0.38
Caleb Ekuban,FWMF,28.0,1716,30,0.05
Anthony Elanga,FW,20.0,1214,21,0.15
Alberth Elis,FWMF,26.0,1409,20,0.57
Harvey Elliott,MF,19.0,346,6,0.0
Elif Elmas,FWMF,22.0,1620,37,0.17
Mohamed Elneny,MF,29.0,806,14,0.0
Aritz Elustondo,DF,28.0,2105,30,0.17
Nico Elvedi,DF,25.0,2430,28,0.04
Sepe Elye Wahi,FW,19.0,1786,33,0.51
Mohamed Elyounoussi,MFFW,27.0,2042,30,0.18
Adri Embarba,FWMF,30.0,1986,32,0.0
Breel Embolo,FWMF,25.0,2166,29,0.37
Emerson,DF,23.0,2286,31,0.04
Emerson,DF,23.0,91,3,0.0
Renaud Emond,MFFW,30.0,190,6,0.0
Youssef En-Nesyri,FW,24.0,1277,23,0.35
Keita Endo,MFFW,24.0,55,4,0.0
Wataru Endo,MF,29.0,2899,33,0.12
Christian Eriksen,MF,30.0,939,11,0.1
Martin Erlic,DF,24.0,2576,30,0.07
Gonzalo Escalante,MF,29.0,9,1,0.0
Gonzalo Escalante,MF,29.0,1300,17,0.35
Aarón Escandell,GK,26.0,284,4,0.0
Sergio Escudero,DFMF,32.0,1434,27,0.13
Alfonso Espino,DF,30.0,3329,37,0.05
Michael Esser,GK,34.0,270,3,0.0
Estanis,FW,18.0,11,1,0.0
Maxime Estève,DF,20.0,1857,24,0.0
Pervis Estupiñán,DF,24.0,1575,28,0.0
Oghenekaro Etebo,MF,26.0,401,9,0.0
Jonny Evans,DF,34.0,1348,18,0.07
Eberechi Eze,MFFW,23.0,605,13,0.15
Abdessamad Ezzalzouli,FWDF,20.0,580,10,0.16
?ukasz Fabia?ski,GK,37.0,3330,37,0.0
Fabinho,MF,28.0,2314,29,0.19
Fábio,DF,31.0,1667,27,0.0
Cesc Fàbregas,MF,35.0,38,2,0.0
Wout Faes,DF,24.0,3330,37,0.11
Wahidullah Faghir,FW,18.0,123,6,0.71
Romain Faivre,MF,23.0,1795,21,0.35
Romain Faivre,FWMF,23.0,889,14,0.3
Radamel Falcao,FW,36.0,838,22,0.65
Diego Falcinelli,FWMF,30.0,66,6,0.0
Wladimiro Falcone,GK,27.0,855,10,0.0
Fali,DFMF,28.0,1803,28,0.0
Paolo Faragò,MF,29.0,16,1,0.0
Omar Faraj,FW,20.0,4,1,0.0
Davide Faraoni,DF,30.0,2572,32,0.14
Mohamed Fares,DFFW,26.0,587,9,0.31
Diego Farias,MFFW,32.0,66,4,0.0
Wuilker Faríñez,GK,24.0,1105,13,0.0
Ömer Faruk Beyaz,FWDF,18.0,71,4,0.0
Noah Fatar,DFMF,20.0,5,3,0.0
Ansu Fati,FW,19.0,336,10,1.08
Julien Faussurier,MFDF,35.0,489,16,0.0
Andrea Favilli,FW,25.0,36,1,0.0
Federico Fazio,DF,35.0,1434,16,0.06
Aleix Febas,MF,26.0,117,4,0.0
Adrian Fein,MF,23.0,32,3,0.0
Nabil Fekir,MF,28.0,2794,34,0.19
Felipe,DF,33.0,1504,26,0.12
Luiz Felipe,DF,25.0,2491,31,0.0
Ohis Felix Uduokhai,DF,24.0,787,13,0.0
João Félix,FWMF,22.0,1263,24,0.57
Kiko Femenía,DF,31.0,2142,27,0.0
Evan Ferguson,MF,17.0,23,1,0.0
Nathan Ferguson,DF,21.0,9,1,0.0
Bruno Fernandes,MF,27.0,3111,36,0.29
Edimilson Fernandes,DFFW,26.0,283,7,0.0
Aitor Fernández,GK,31.0,1166,13,0.0
Álex Fernández,MF,29.0,2051,32,0.13
Álvaro Fernández,GK,24.0,1080,12,0.0
Federico Fernández,DF,33.0,523,7,0.0
Fernandinho,MFDF,37.0,964,19,0.19
Fernando,MFDF,34.0,1850,24,0.05
Alex Ferrari,DF,27.0,1643,23,0.05
Salvador Ferrer,DFMF,24.0,1495,27,0.0
Jordan Ferri,MF,30.0,2911,34,0.0
Riccardo Fiamozzi,DF,29.0,620,10,0.0
Fidel,MFFW,32.0,2261,33,0.2
Karol Fila,DF,23.0,560,16,0.0
Alfre? Finnbogason,FWMF,33.0,292,10,0.63
Luca Fiordilino,MF,25.0,661,15,0.0
Vincenzo Fiorillo,GK,32.0,90,1,0.0
Roberto Firmino,FW,30.0,990,20,0.45
Junior Firpo,DF,25.0,1711,24,0.0
Mark Flekken,GK,28.0,2880,32,0.0
Ashley Fletcher,FW,26.0,30,3,0.0
Alexis Flips,FWMF,22.0,1056,25,0.17
Alessandro Florenzi,DFFW,31.0,1152,24,0.16
Phil Foden,FW,22.0,2128,28,0.38
Mamadou Fofana,DF,24.0,33,1,0.0
Seko Fofana,MF,27.0,3357,38,0.21
Wesley Fofana,DF,21.0,630,7,0.0
Youssouf Fofana,MF,23.0,2190,33,0.0
Thomas Foket,DFMF,27.0,2235,29,0.04
Thomas Fontaine,DF,31.0,167,2,0.0
José Fontán,DF,22.0,276,9,0.0
José Fonte,DF,38.0,3420,38,0.0
Fernando Forestieri,FWMF,32.0,58,4,3.33
Pablo Fornals,FWMF,26.0,2795,36,0.19
Emil Forsberg,MFFW,30.0,1706,31,0.32
Adam Forshaw,MF,30.0,1530,22,0.0
Marcus Forss,FWMF,22.0,209,7,0.0
Fraser Forster,GK,34.0,1710,19,0.0
Philipp Förster,FWMF,27.0,967,20,0.19
Francesco Forte,FW,29.0,422,12,0.21
Steven Fortes,DF,30.0,90,1,0.0
Ben Foster,GK,39.0,2340,26,0.0
Tariqe Fosu,DF,26.0,17,1,0.0
Timothy Fosu-Mensah,DF,24.0,145,6,0.0
Dimitri Foulquier,DF,29.0,180,2,0.0
Dimitri Foulquier,DF,29.0,2342,29,0.0
Juan Foyth,DF,24.0,1924,25,0.05
Gianluca Frabotta,DFFW,22.0,20,2,0.0
Raphael Framberger,DF,26.0,848,23,0.0
Przemys?aw Frankowski,DF,27.0,2448,37,0.22
Enric Franquesa,DF,25.0,625,16,0.0
Fransérgio,MF,31.0,1258,26,0.0
Ryan Fraser,FWMF,28.0,1465,27,0.12
Davide Frattesi,MF,22.0,2854,36,0.13
Fred,MF,29.0,2028,28,0.18
Ryan Fredericks,DF,29.0,307,7,0.0
Morten Frendrup,DFMF,21.0,695,10,0.0
Remo Freuler,MF,30.0,2369,29,0.04
Marvin Friedrich,DF,26.0,1169,13,0.0
Marvin Friedrich,DF,26.0,600,8,0.0
Jeremie Frimpong,DF,21.0,2052,25,0.04
Christian Früchtl,GK,22.0,10,1,0.0
Jorge de Frutos,MFFW,25.0,1760,25,0.2
Leo Fuhr Hjelde,DF,18.0,150,2,0.0
Chris Führich,MFFW,24.0,1714,25,0.16
Angelo Fulgini,MFFW,25.0,2929,36,0.15
Marius Funk,GK,26.0,720,8,0.0
Stephan Fürstner,MF,34.0,5,1,0.0
Matteo Gabbia,DF,22.0,537,8,0.0
Manolo Gabbiadini,FWMF,30.0,1140,18,0.47
Mijat Ga?inovi?,FWDF,27.0,110,4,0.0
Gianluca Gaetano,MF,22.0,20,2,0.0
Luca Gagliano,MFDF,21.0,13,2,0.0
Roberto Gagliardini,MF,28.0,649,18,0.28
Riccardo Gagliolo,DF,32.0,1138,17,0.0
Javi Galán,DF,27.0,3298,37,0.0
Iñigo Ruiz de Galarreta,MF,28.0,1378,22,0.0
Nicolas Galazzi,DF,21.0,16,1,0.0
Pablo Galdames Millán,MF,25.0,1028,19,0.0
Thiago Galhardo,FWMF,32.0,1148,31,0.16
Conor Gallagher,MF,22.0,2845,34,0.25
Gauthier Gallon,GK,29.0,2790,31,0.0
Cristian Gamboa,DF,32.0,1722,23,0.05
Kévin Gameiro,FW,35.0,2385,35,0.42
Idrissa Gana Gueye,MF,32.0,1641,26,0.16
Ignatius Ganago,FW,23.0,1024,28,0.44
Silvère Ganvoula M'Boussy,FW,25.0,153,9,0.0
Álvaro García,FW,29.0,2998,36,0.21
Dani García,MF,32.0,2177,32,0.0
David García,DF,28.0,3105,35,0.12
Eric García,DF,21.0,2039,26,0.0
Francisco Garcia,DF,22.0,3025,34,0.03
Joan García,GK,21.0,108,2,0.0
Manu García,MF,24.0,1077,24,0.0
Raúl García,FW,35.0,1802,35,0.3
Rubén García,FWMF,28.0,2375,37,0.04
Saúl García,FW,27.0,4,1,0.0
Unai García,DF,30.0,1408,18,0.0
Alejandro Garnacho,FW,17.0,13,2,0.0
Mario Gaspar,DF,31.0,623,12,0.0
Djeidi Gassama,FW,18.0,2,1,0.0
Johan Gastien,MF,34.0,2746,32,0.0
Dwight Gayle,FW,31.0,38,8,0.0
Jean-Philippe Gbamin,MF,26.0,67,3,0.0
David de Gea,GK,31.0,3420,38,0.0
Linus Gechter,DF,18.0,716,13,0.13
Dennis Geiger,MF,23.0,1377,20,0.13
Joe Gelhardt,FWMF,20.0,746,20,0.24
Luca Gemello,GK,21.0,90,1,0.0
Yannick Gerhardt,MFDF,28.0,1574,27,0.06
Valère Germain,FW,32.0,1970,34,0.18
Gerson,MFFW,25.0,2544,35,0.32
Willem Geubbels,FWMF,20.0,544,22,0.33
Hamadi Al Ghaddioui,FW,31.0,498,10,0.36
Ismaël Gharbi,FW,18.0,2,1,0.0
Anwar El Ghazi,FW,27.0,13,2,0.0
Anwar El Ghazi,FWMF,27.0,386,9,0.23
Lamine Ghezali,DF,22.0,1,1,0.0
Paolo Ghiglione,DF,25.0,603,13,0.0
Saman Ghoddos,DFMF,28.0,536,17,0.17
Faouzi Ghoulam,DF,31.0,332,14,0.0
Dimitris Giannoulis,DF,26.0,1169,18,0.0
Morgan Gibbs-White,FWMF,22.0,9,2,0.0
Ben Gibson,DF,29.0,2494,28,0.0
Niko Gießelmann,DF,30.0,2083,28,0.13
Rafa? Gikiewicz,GK,34.0,3060,34,0.0
Óscar Gil,DF,25.0,1688,22,0.0
Mario Gila,DF,21.0,25,2,0.0
Billy Gilmour,MF,20.0,1855,24,0.0
Daniel Ginczek,MFFW,31.0,13,2,0.0
Matthias Ginter,DF,28.0,2355,28,0.04
Nicholas Gioacchini,MFFW,21.0,497,28,0.0
Sebastian Giovinco,MF,35.0,39,2,0.0
Jimmy Giraudon,DF,30.0,1619,19,0.0
Andrei Girotto,DFMF,30.0,3146,36,0.17
Olivier Giroud,FW,35.0,1892,29,0.52
Serge Gnabry,FWDF,26.0,2185,34,0.58
Ben Godfrey,DF,24.0,2029,23,0.0
Diego Godín,DF,36.0,818,11,0.0
Edoardo Goldaniga,MFDF,28.0,1,1,0.0
Edoardo Goldaniga,DF,28.0,934,11,0.0
Aleksandr Golovin,FWMF,25.0,1502,27,0.18
André Gomes,MF,28.0,619,14,0.0
Angel Gomes,MFFW,21.0,954,24,0.09
Toti Gomes,DF,23.0,360,4,0.0
Dani Gómez,FW,23.0,1063,28,0.34
Joe Gomez,DF,25.0,331,8,0.0
Maxi Gómez,FW,25.0,1956,29,0.23
Moi Gómez,MFFW,27.0,1286,29,0.14
Papu Gómez,MFFW,34.0,1784,29,0.25
Sergi Gómez,DF,30.0,2720,31,0.03
Alfred Gomis,GK,28.0,2250,25,0.0
Maxime Gonalons,MF,33.0,1460,24,0.0
Vagner Gonçalves,MFFW,26.0,86,3,0.0
Cedric Gondo,FW,25.0,699,14,0.13
Álvaro González,DF,32.0,451,6,0.0
Diego González,DF,27.0,1793,28,0.0
Édgar González,DF,25.0,1464,21,0.06
Giovanni González,DF,27.0,365,9,0.24
Nicolás González,MF,20.0,1114,27,0.16
Nicolás González,FW,24.0,2357,33,0.27
Peter González,MFDF,19.0,27,3,0.0
Roberto González,FWMF,21.0,135,4,0.0
Charlie Goode,DF,26.0,450,6,0.0
Anthony Gordon,MFFW,21.0,2285,35,0.16
Kaide Gordon,FW,17.0,9,1,0.0
Leon Goretzka,MF,27.0,1396,19,0.19
Gori,MF,20.0,9,1,0.0
Andoni Gorosabel,DF,25.0,2289,32,0.0
Robin Gosens,DF,27.0,460,6,0.2
Robin Gosens,DF,27.0,169,7,0.0
Dan Gosling,MF,32.0,166,4,0.56
Amine Gouiri,FWMF,22.0,2754,38,0.33
Jeffrey Gouweleeuw,DF,30.0,2576,29,0.07
Jonathan Gradit,DF,29.0,3067,35,0.0
Jens Grahl,GK,33.0,90,1,0.0
Alberto Grassi,MF,27.0,2174,30,0.0
Jaume Grau,MF,25.0,3,1,0.0
Andrew Gravillon,DF,24.0,2135,26,0.0
Demarai Gray,MFFW,25.0,2338,34,0.19
Adrian Grbi?,FWMF,25.0,518,16,0.17
Ivo Grbi?,GK,26.0,1890,21,0.0
Jack Grealish,FW,26.0,1914,26,0.14
Etienne Green,GK,21.0,1197,15,0.0
Julian Green,MF,26.0,1054,24,0.0
Mason Greenwood,FWMF,20.0,1271,18,0.35
Sam Greenwood,MFFW,20.0,237,7,0.0
Michael Gregoritsch,FWMF,28.0,1392,25,0.58
Dominik Greif,GK,25.0,90,1,0.0
Clément Grenier,MF,31.0,60,5,1.43
Sebastian Griesbeck,MF,31.0,9,1,0.0
Sebastian Griesbeck,DFMF,31.0,2439,29,0.04
Antoine Griezmann,FW,31.0,263,3,0.0
Antoine Griezmann,FWMF,31.0,1695,26,0.16
Vincenzo Grifo,MFFW,29.0,2775,34,0.29
Lennart Grill,GK,23.0,90,1,0.0
Florian Grillitsch,DFMF,26.0,1496,18,0.0
Arnaut Groeneveld,FW,25.0,1472,23,0.61
Pascal Groß,MFDF,30.0,2038,29,0.09
Carlos Gruezo,MF,27.0,970,17,0.0
Vicente Guaita,GK,35.0,2655,30,0.0
Andrés Guardado,MF,35.0,1393,28,0.0
Sergi Guardiola,FW,31.0,1710,32,0.42
Nemanja Gudelj,MFDF,30.0,1046,21,0.0
Gabriel Gudmundsson,DFMF,23.0,1344,30,0.07
Noah Guede-Nadje,FW,18.0,3,1,0.0
Gonçalo Guedes,FWMF,25.0,2606,36,0.38
Marc Guéhi,DF,21.0,3222,36,0.06
Mattéo Guendouzi,MF,23.0,3152,38,0.11
Yanis Guermouche,MFFW,21.0,11,3,0.0
Raphaël Guerreiro,DF,28.0,1795,23,0.2
Evann Guessand,FW,20.0,438,20,0.2
Ander Guevara,MF,24.0,867,17,0.0
Lamine Gueye,MFFW,24.0,555,14,0.0
Pape Gueye,MF,23.0,1528,28,0.0
John Guidetti,FWMF,30.0,279,10,0.0
Josuha Guilavogui,MFDF,31.0,1331,15,0.07
Josuha Guilavogui,MFDF,31.0,942,15,0.0
Frederic Guilbert,DF,27.0,2516,33,0.0
Hugo Guillamón,MFDF,22.0,2361,31,0.04
Bruno Guimarães,MF,24.0,1634,20,0.0
Bruno Guimarães,MF,24.0,1034,17,0.43
