Player,Pos,Age,Min,MP,Goals
Arthur,FW,24.0,749,14,0.24
Santiago Arzamendia,MFDF,24.0,469,14,0.19
Takuma Asano,FWMF,27.0,1608,27,0.17
Santiago Ascacíbar,MF,25.0,2375,28,0.0
Sergio Asenjo,GK,32.0,540,6,0.0
Alejandro Asensio,FW,21.0,12,2,0.0
Marco Asensio,FWMF,26.0,1731,31,0.52
Harrison Ashby,DF,20.0,7,1,0.0
Kristoffer Askildsen,MF,21.0,754,19,0.0
Fisnik Asllani,MFFW,19.0,9,2,0.0
Kristjan Asllani,MF,20.0,1353,23,0.07
Iago Aspas,FW,34.0,3087,37,0.5
Lorenz Assignon,DF,21.0,616,20,0.0
Simon Asta,DF,21.0,783,13,0.0
Youcef Atal,DF,26.0,1140,17,0.16
Pierre-Emerick Aubameyang,FW,32.0,1082,17,0.92
Pierre-Emerick Aubameyang,FW,32.0,1037,14,0.35
Emil Audero,GK,25.0,2560,29,0.0
Tommaso Augello,DF,27.0,2395,36,0.04
Jean-Kévin Augustin,FWMF,24.0,84,7,0.0
Ludwig Augustinsson,DF,28.0,793,19,0.0
Serge Aurier,DF,29.0,1010,19,0.0
Ezequiel Ávila,FWMF,28.0,1870,36,0.29
Taiwo Awoniyi,FW,24.0,2174,31,0.62
Ramzi Aya,DF,31.0,135,2,0.0
Jordan Ayew,FW,30.0,2019,31,0.13
Kaan Ayhan,DF,27.0,1354,23,0.07
Luke Ayling,DF,30.0,2272,26,0.08
Karim Azamoum,DF,32.0,388,7,0.0
Sardar Azmoun,FWMF,27.0,359,9,0.25
César Azpilicueta,DF,32.0,2070,27,0.04
Iddrisu Baba,MF,26.0,1934,26,0.09
Carlos Bacca,FW,35.0,513,17,0.0
Daniel Bachmann,GK,27.0,1080,12,0.0
Loïc Bade,DF,22.0,985,14,0.0
Milan Badelj,MF,33.0,2844,34,0.03
Édgar Badía,GK,30.0,2160,24,0.0
Benoît Badiashile,DF,21.0,1838,24,0.05
Youssouph Badji,FW,20.0,135,9,0.0
Miguel Baeza,DF,22.0,2,1,0.0
Nicola Bagnolini,GK,18.0,3,1,0.0
Issa Bah,FW,19.0,9,1,0.0
Stéphane Bahoken,FW,30.0,1099,29,0.25
Leon Bailey,FWMF,24.0,761,18,0.12
Eric Bailly,DF,28.0,217,4,0.0
Dénys Bain,DF,28.0,180,2,0.0
Stefan Bajic,GK,20.0,510,7,0.0
Nedim Bajrami,MFFW,23.0,2054,35,0.26
Cédric Bakambu,FW,31.0,356,12,1.0
Abdoulaye Bakayoko,DF,19.0,307,4,0.0
Tiemoué Bakayoko,MF,27.0,501,14,0.0
Mitchel Bakker,DF,21.0,1822,25,0.0
Ridle Baku,DFFW,24.0,2446,34,0.11
Dilane Bakwa,FWDF,19.0,43,5,0.0
Tommaso Baldanzi,FW,19.0,18,1,0.0
Alejandro Balde,DFFW,18.0,188,5,0.0
Ibrahima Baldé,FWMF,19.0,58,4,0.0
Keita Baldé,FWMF,27.0,1229,26,0.22
Gareth Bale,FW,32.0,280,5,0.32
Mikel Balenziaga,DF,34.0,2027,26,0.0
Leonardo Balerdi,DF,23.0,950,17,0.0
Iván Balliu,DF,30.0,3147,35,0.03
Fodé Ballo-Touré,DF,25.0,446,10,0.0
Folarin Balogun,FW,20.0,70,2,0.0
Abdoulaye Bamba,DF,32.0,458,10,0.0
Jonathan Bamba,MFFW,26.0,2428,31,0.04
Patrick Bamford,FW,28.0,559,9,0.32
Filippo Bandinelli,MF,27.0,1955,35,0.09
Mattia Bani,DF,28.0,1211,17,0.0
Simon Banza,FW,25.0,124,4,0.71
Shandon Baptiste,MF,24.0,910,22,0.1
Antonín Barák,FWMF,27.0,2340,29,0.42
Barbero,MFFW,23.0,21,6,0.0
Danilo Barbosa,DF,26.0,90,1,0.0
