Player Name,Appearances,Goals Scored,Assists Provided,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90
Remko Pasveer,0,0,0,0,0,0,0
Andries Noppert,5,0,0,0,0,0,0
Daley Blind,5,1,1,0.42,1.06,2.76,4.88
Stefan de Vrij,0,0,0,0,0,0,0
Virgil van Dijk,5,0,0,0.00,0.75,0.38,9.00
Matthijs de Ligt,2,0,0,0.00,0.00,0.00,9.00
Denzel Dumfries,5,1,2,1.12,1.31,1.50,6.19
Nathan Ake,5,0,0,0.00,1.50,1.12,6.00
Jurrien Timber,4,0,0,0,0,0,0
Tyrell Malacia,0,0,0,0,0,0,0
Jeremie Frimpong,0,0,0,0,0,0,0
Frenkie de Jong,5,1,1,1.13,1.13,2.65,7.18
Steven Berghuis,4,0,1,1.82,0.00,0.91,2.27
Maarten de Roon,5,0,0,0.00,0.98,3.42,7.34
Teun Koopmeiners,5,0,1,0.41,1.24,4.15,9.12
Kenneth Taylor,1,0,0,0.00,0.00,0.00,0.00
Xavi Simons,1,0,0,0.00,12.86,0.00,0
Davy Klaassen,4,1,2,0.47,0.47,1.41,3.75
Memphis Depay,2,1,0,3.88,0.00,1.55,6.21
Luuk de Jong,1,0,0,0.00,0.00,3.21,14.46
Steven Bergwijn,4,0,0,0.84,0.00,0.42,2.09
Vincent Janssen,2,0,0,0.00,0.00,2.09,6.28
Wout Weghorst,4,2,0,0.00,0.00,0.00,4.43
Cody Gakpo,5,3,0,1.78,0.59,1.59,5.35
Noa Lang,1,0,0,0.00,12.86,0.00,0.00
Jordan Pickford,5,0,0,0,0,0,0
Nick Pope,0,0,0,0,0,0,0
Aaron Ramsdale,0,0,0,0,0,0,0
Trent Alexander0Arnold,1,0,0,0.00,0.00,0.00,0.00
Conor Coady,0,0,0,0,0,0,0
Eric Dier,2,0,0,0.00,0.00,2.65,7.94
Harry Maguire,5,0,1,0.42,0.84,1.47,8.16
Luke Shaw,5,0,1,0.42,1.06,0.64,3.18
John Stones,5,0,0,0.21,0.21,0.41,3.30
Kieran Trippier,3,0,0,0.88,0.44,2.63,6.59
Kyle Walker,3,0,0,0.76,0.76,1.14,6.08
Jude Bellingham,5,1,1,3.04,1.30,3.26,8.26
Conor Gallagher,0,0,0,0,0,0,0
Jordan Henderson,4,1,0,0.00,0.33,1.32,3.96
Mason Mount,4,0,0,1.45,0.00,0.97,6.29
Kalvin Phillips,2,0,1,0.00,0.00,0.00,0.00
Declan Rice,5,0,0,0.43,2.37,1.29,3.02
Phil Foden,4,1,2,1.39,0.35,0.35,4.86
Jack Grealish,5,1,0,5.49,3.29,3.29,17.56
Harry Kane,5,2,3,1.57,0.00,0.45,6.94
James Maddison,0,0,0,0,0,0,0
Marcus Rashford,5,3,0,5.26,0.66,0.66,4.60
Bukayo Saka,4,3,0,2.47,0.62,2.16,5.24
Raheem Sterling,3,1,1,1.81,0.60,0.60,4.22
Callum Wilson,2,0,1,0.00,0.00,0.00,0.00
Alisson,4,0,0,0,0,0,0
Ederson,1,0,0,0,0,0,0
Weverton,1,0,0,0,0,0,0
Dani Alves,2,0,0,0.77,1.54,3.85,7.69
Thiago Silva,4,0,1,0.00,1.15,0.69,4.15
Marquinhos,5,0,0,0.21,0.42,1.06,3.39
Danilo,3,0,0,0.00,0.96,1.60,4.47
Alex Sandro,3,0,0,0.95,1.42,3.79,7.11
Eder Militao,4,0,0,0.00,0.77,1.55,4.38
Alex Telles,1,0,0,0.00,0.00,3.10,6.21
Bremer,2,0,0,0.00,0.83,0.83,9.17
Casemiro,4,1,0,0.46,1.38,2.54,4.84
Lucas Paqueta,4,1,1,0.28,0.61,2.58,8.65
Fabinho,1,0,0,0.00,1.00,3.00,5.00
Fred,4,0,0,0.64,0.00,1.28,3.83
Everton Ribeiro,1,0,0,2.50,0.00,2.50,2.50
Bruno Guimaraes,2,0,0,2.50,0.00,0.00,5.00
Neymar,3,2,1,5.81,0.32,0.32,7.10
Gabriel Jesus,3,0,0,1.96,1.96,1.96,8.81
Richarlison,4,3,0,1.10,0.28,0.55,4.41
Vinicius Jr,4,1,2,3.89,0.00,1.20,4.49
Antony,4,0,0,6.84,0.53,1.58,6.85
Raphinha,5,0,0,2.84,0.85,2.27,4.54
Rodrygo,5,0,1,3.02,1.01,2.01,5.53
Gabriel Matinelli,2,0,0,5.68,0.00,1.62,6.49
Pedro,2,0,0,0.00,1.45,2.90,14.51
Diogo Costa,5,0,0,0,0,0,0
Rui Patricio,0,0,0,0,0,0,0
Jose Sa,0,0,0,0,0,0,0
Diogo Dalot,3,0,1,0.69,0.69,2.78,7.64
Danilo Pereira,1,0,0,1.00,3.00,1.00,14.00
Pepe,4,1,0,0.25,1.50,1.25,7.25
Ruben Dias,4,0,0,0.00,0.75,0.75,3.75
Antonio Silva,1,0,0,0.00,1.00,1.00,5.00
Nuno Mendes,1,0,0,4.29,4.29,0.00,12.85
Joao Cancelo,4,0,0,2.62,0.58,2.04,10.19
Raphael Guerreiro,4,1,2,0.65,0.97,0.97,3.23
Joao Palhinha,3,0,0,2.57,2.57,5.14,5.14
Ruben Neves,5,0,0,0.00,0.66,0.33,2.32
Bernardo Silva,5,0,0,0.50,0.50,0.50,1.76
Bruno Fernandes,4,2,3,0.76,0.50,0.76,4.28
Joao Mario,2,0,0,1.08,0.00,2.17,2.17
Matheus Nunes,2,0,0,1.23,0.00,0.00,3.70
Otavio,3,0,0,0,0,0,0
William Carvalho,4,0,0,0.00,0.00,2.51,6.69
Vitinha,3,0,0,1.51,0.00,2.27,5.29
Andre Silva,1,0,0,0.00,0.00,0.00,7.20
Cristiano Ronaldo 🐐,5,1,0,0.62,0.00,0.00,6.49
Goncalo Ramos,4,3,1,1.18,0.00,0.59,7.11
Joao Felix,4,1,2,2.16,1.08,0.54,5.13
Rafael Leao,5,2,0,6.51,1.08,0.00,7.59
Ricardo Horta,3,1,0,0.00,0.76,1.53,2.29
Mat Ryan,4,0,0,0,0,0,0
Danny Vukovic,0,0,0,0,0,0,0
Andrew Redmayne,0,0,0,0,0,0,0
Aziz Behic,4,0,0,3.00,0.75,2.00,5.50
Milos Degenek,4,0,0,1.49,0.50,2.49,11.93
Bailey Wright,1,0,0,0.00,0.00,0.00,11.24
Fran Karacic,2,0,0,0.00,1.91,2.87,10.53
Harry Souttar,4,0,0,0.00,1.50,1.00,7.25
Nathaniel Atkinson,1,0,0,2.12,1.06,4.24,4.24
Joel King,0,0,0,0,0,0,0
Kye Rowles,4,0,0,0.00,1.75,2.25,4.25
Thomas Deng,0,0,0,0,0,0,0
Aaron Mooy,4,0,0,0.75,0.50,2.25,4.00
Jackson Irvine,4,0,0,0.51,0.51,1.01,6.08
Ajdin Hrustic,2,0,0,6.10,1.53,1.53,6.10
Riley McGree,4,0,1,0.00,1.67,0.67,2.00
Keanu Baccus,4,0,0,0.00,1.61,0.80,4.82
Cameron Devlin,0,0,0,0,0,0,0
Mathew Leckie,4,1,1,2.69,0.27,1.07,11.02
